Date,Predicted_Return,Predicted_Close,Change_Pct
2026-03-10,-0.000999,1398.1,-0.1
2026-03-11,-0.000169,1397.87,-0.017
2026-03-12,0.001284,1399.66,0.128
2026-03-13,-0.000389,1399.12,-0.039
2026-03-16,0.000285,1399.52,0.029
2026-03-17,0.000554,1400.29,0.055
2026-03-18,0.000665,1401.22,0.066
2026-03-19,2.6e-05,1401.26,0.003
2026-03-20,0.000466,1401.91,0.047
2026-03-23,0.000279,1402.3,0.028
